hashed_email,total_purchase_amount,last_purchase_date,store_visits_12months,product_category_interest
38d4769b49f04a0bdca1206d9db828de,Medium,Within_1year,Low,Classic
fed4934a29e96f0c7dcb38916b110648,Low,Over_3years,High,Sports
232172cf026031f74bad47debbc9f250,High,Within_1year,Low,Classic
f64b3c67a61b3f315c76ddd3806e19e2,Medium,1-3years,Low,Luxury
b38f93f46d1961a0c9b46bddc0c4c5a1,High,Over_3years,Low,Classic
91d758a469425dff0a284cc1a0117199,High,1-3years,High,Luxury
ab7d9e9740f9f9c94ae458ad71ed4c9a,High,Over_3years,High,Luxury
b69e8f405865a0edeaa0b27d2c099ab3,Low,1-3years,Low,Classic
7e6d87f3b90a6b1e3c588ce42e644ba2,High,Within_1year,High,Luxury
3f6871f7e19904ec841eb7de7d170a39,High,Within_1year,Low,Classic
7dce9234ab621aa95de716148b2d224e,Low,Within_1year,High,Luxury
1f31698535cce51736a3013a822ce666,High,Over_3years,Low,Classic
f87a14334ab90a69b69d39d7f24a6729,High,Over_3years,Low,Luxury
a7d13ba2e32520a592deecc7b4f499bc,Low,Over_3years,High,Sports
a03bd7deee23738f0a20d7d2993f000f,Low,Within_1year,Low,Classic
21a3d9954bc53cebf77cab43e1472094,Medium,Over_3years,Low,Classic
7fdc2264d07289098781fb2d95afd50f,Medium,1-3years,High,Classic
31f1f94b09a4ecd314554c71fbf0382a,Medium,Over_3years,High,Luxury
e7dcfc98028447a7b04d051099f689cf,High,Within_1year,Low,Sports
117b9fd4bbb3d2be104969afcc19a583,High,Within_1year,High,Luxury
02505dddd85e7073758ec918f9d49a23,High,1-3years,High,Luxury
7e3795b290bb8c0a459ada25c55740ac,Low,Over_3years,High,Classic
87bf804692653bf2df9300f66ecb6415,High,Over_3years,Low,Luxury
7abcf8a9d88492587b64e111db159647,Medium,1-3years,High,Luxury
ab1ef9ef7375d3230c991fb77c43249b,Low,1-3years,Low,Sports
80a02ae270a117fe32cbb063be9c7ecd,Low,Within_1year,High,Luxury
e697d8f8dd5686d4948c72f7ad9c895b,Low,Over_3years,Low,Sports
f3adce56a2e07d1d02a72fa2989ecd51,Medium,1-3years,Low,Classic
27b3ddc51290af49559bd52a3d95dec0,Medium,Over_3years,High,Sports
bda8bf48e558a8f7d051979ebd8ffdc4,Medium,1-3years,Low,Sports
2d84e437f32ae4057f0ce06eabab8251,Low,Within_1year,Low,Classic
10824a55811b661711f53a31dfd3a3bd,Low,1-3years,High,Sports
2587b48a568bcc8e1dea76ee76ed87ee,High,1-3years,High,Sports
4f7afd232a2c35a08cc15dc27455f43b,High,1-3years,Low,Classic
96660c199a8fe96644315059c3766b78,Medium,1-3years,High,Luxury
1720b5c576b2b5d71d66e0b7887d521d,Low,1-3years,High,Sports
f82e8f82d9080f8ebedbd43943f22adb,High,Over_3years,Low,Luxury
591eb9aff9dfa2088882fa914dc49aee,Medium,Within_1year,Low,Classic
8021ccdccd4f8601d3235758ebdc9d10,Medium,Within_1year,Low,Classic
29bb9e3e9cd8e84f99028aebf940db49,High,1-3years,High,Luxury
145292d8330b7c1a536be6e7ce05efe7,Medium,1-3years,Low,Sports
1681363024366f0cf828aa0da2aa2615,Low,Over_3years,High,Luxury
4a1008d32613f1dcec909f91a4596ae1,Medium,1-3years,Low,Classic
1deab6b854aec9f35a7c3e96c796db4b,Low,1-3years,Low,Classic
3c86eed61147b085da6740688256a40e,Low,Over_3years,Low,Sports
f4d088e0ec12d9d784928e73b151a272,High,1-3years,Low,Classic
2c9a1837e737bd45d9d9adf15a74fddc,High,Over_3years,High,Luxury
239070a4433b4bdf45a8245a69967d56,High,Within_1year,High,Luxury
18eac3895e90e247a838fd5d4011f595,Medium,1-3years,High,Luxury
be3c20def381003e0a8ac033b08b55a9,High,Within_1year,High,Luxury
6cfa26ad3a5845619308810277e3346d,High,1-3years,High,Sports
a572270beec54d3418545c63dc2090f0,Medium,1-3years,Low,Luxury
addf3e95cdd4d33b6363d0f9cab43925,High,1-3years,Low,Sports
78aacfb4120b88d1454f54f32411adc9,Medium,Within_1year,High,Classic
984a18457c81563f2b0b12357a737f2c,Medium,1-3years,High,Classic
3932c0c470f8bc5848141e4575bfaeac,Low,Over_3years,Low,Sports
ee8d574d3342caca8a210bbdc3dda2e7,Low,Within_1year,High,Sports
28f3b46313df28faf0b1ddb2806afd91,High,Over_3years,High,Classic
ec46f2e6e00aacddacb5bd0cb26a0154,Medium,Over_3years,Low,Classic
e935f7e31c1d292ef48f4a46dca8c86f,Low,1-3years,High,Luxury
26846446271ca6e548dd5e274b4c754c,Low,1-3years,High,Sports
c59b7653fd07adae6f241852847fc40a,Low,Within_1year,High,Classic
39b844820a678251ba387e20f0f02feb,Low,Within_1year,High,Sports
ab62ccc0fe34ff66fa0c0078ab429955,High,Over_3years,High,Classic
fe046ef471dbff935b5a255bcbfc56c2,Low,1-3years,High,Sports
5bb46c046cbb8181d90a4b8bb8dd0b8e,High,Over_3years,Low,Sports
f7db34b9d097a5e821079ad7e5a8266d,Medium,1-3years,High,Classic
a795f85ab4a25b7ec964eafdbbb7b73a,High,Over_3years,High,Luxury
caef8102d1e1fd54fc24e2c22d7bb20c,Low,1-3years,High,Luxury
75f440d36116df01604c7dc2e34c4ba2,Medium,Within_1year,High,Luxury
16541f53db84cbca7a214b676171848d,Medium,Within_1year,Low,Classic
fa84c8b82963e1fe144b39264ccda3bb,High,1-3years,High,Classic
09f8540934f6b0d8e48151ce4c65d19e,Medium,Over_3years,Low,Luxury
e74115c353f47c419a1a5d5c9f49f8cd,High,Within_1year,High,Classic
8baa733ea0e00e6196bb84bbb011523b,Medium,1-3years,Low,Classic
86a556b291ac40b75c6cede0f96d1522,High,1-3years,High,Luxury
a50b7452db586eac76befd1e52760800,Low,Over_3years,High,Classic
3b82c8bc76cf860f724035990bf3cae4,High,1-3years,Low,Classic
df772f6aadae2ff5f86a4834fff82511,High,Within_1year,Low,Sports
8f4c58a6d8035f2a5712271f510d5f03,Low,Within_1year,High,Sports
4ce8d81767e762248e60be26bfe14f58,High,Over_3years,High,Luxury
c4eab6223956f6500f2d1481e8314529,High,Over_3years,High,Sports
5bbb769e94c9fb6fc98fe7e826f54214,Medium,Within_1year,High,Sports
122194e8729fd5a918ca1fa62b5b53e7,High,Over_3years,High,Classic
e63cf4e9f8e07c610595fd477385dc49,Medium,Within_1year,Low,Sports
dbfaa50e33134dc603360498f825c9f0,Low,1-3years,High,Classic
838492d18dd1b22e6ed879cb7e17e425,Medium,Over_3years,High,Sports
27ad9c642e15b3052a94735bb8110a75,Medium,Within_1year,High,Luxury
171fc1b07dd6c3345e5eb16840c302e2,Low,Over_3years,Low,Classic
7083489f21dae3deed2b095da9e7a373,Medium,1-3years,High,Sports
1dd12418b1f96287e9048634a6694045,Low,Within_1year,High,Classic
66f6c253c227e376f7c2073125168c95,High,Within_1year,High,Luxury
ac05f93cf99201d9f9b4b67469764e09,High,Within_1year,Low,Luxury
cafb1e3a4be9143ba77b0ad3307f3e27,Medium,1-3years,Low,Classic
e7315ef6cd98d5d0db3ce530a80cfd7f,High,Within_1year,High,Luxury
5e3759501abefa0bd4bd428ed54cafbe,Low,Over_3years,High,Luxury
6e5691a7de21664b63d867d5735bb4c6,High,Within_1year,Low,Sports
8200e1bc7cff6fc10c5492efd882ff64,Low,1-3years,Low,Luxury
751c0de503e13cb0b5c1e0fa69b50243,High,Over_3years,Low,Sports
6f1c5bab10217970a9cf641c712fd77e,Medium,1-3years,High,Classic
0d3dd9dd82d314ebb632471dc3aa0f82,High,Over_3years,Low,Luxury
3e2f3927230aead037b32b1c6333001b,High,Over_3years,Low,Classic
9fefb52ee79629ea3287a3b6e98ba273,High,1-3years,Low,Luxury
ffff3a6cf01fb9d6e3f47481d85b5a25,Low,1-3years,Low,Sports
9d9897cd274e59696e0c6f0fd6216268,Low,1-3years,High,Luxury
137916e124878e3107a319bd96be875a,Medium,1-3years,High,Classic
a2c5639927ef9c5562d8d757ed9a9784,Low,Within_1year,High,Luxury
1dd5ca03bcc002a478fcc32489d60b8f,High,1-3years,Low,Sports
afa012b4d6202f0eefc4373cb34e4fa1,High,Over_3years,Low,Classic
2552750582cc7f597d230c8850019054,Low,Within_1year,High,Sports
afa725706d506b23277e52f662e11ff7,High,1-3years,High,Luxury
f58274dbbd66d22bb5f4aa72ed251b40,Medium,Within_1year,High,Luxury
deebb446dea5e52dd1fc49cefd9b8a5c,Medium,Over_3years,High,Sports
35af21144664b3d40ecb8cd229199120,Low,Over_3years,Low,Classic
f78dcfa92955db063a8396b360320066,Low,Over_3years,Low,Sports
df1b4d28656918938aa697f17e60e749,Medium,Within_1year,High,Classic
7345745b69f1629d7247ed49d3cba5e9,Medium,Within_1year,High,Classic
2d7b5d67d836e1f2a1e291109237645e,Low,1-3years,High,Classic
12411e2fa94a21bfe24a9df5a8fbe1b9,Low,1-3years,High,Sports
4b97ca764e261854546cb01d8889c4db,Low,1-3years,Low,Classic
e93a12893040c4cdacf6f83855d2ec82,High,Over_3years,Low,Sports
d65b5f28ef7ae24808bb9087c075d057,Low,1-3years,Low,Sports
b5c5d221a7422f78c9c1002685488e39,Low,Within_1year,Low,Sports
399235e67e4924e2eeb9567f4abdf832,High,1-3years,High,Luxury
2667b2bdcbeb208a803343b6de50c84a,Medium,Over_3years,High,Luxury
f617bd80753df8b3079ef39b91456fe3,Low,1-3years,Low,Luxury
94ae42727fa1a2fb28d7ca88bde300c3,High,Over_3years,High,Classic
7c04afa8e262b494a3e8a99f23f9804e,Low,Over_3years,High,Luxury
3c45ae56ef2b8a78934814901989b671,Low,Over_3years,High,Luxury
ef6a790aa7dcb49de0eb0924a3d6caab,High,1-3years,Low,Luxury
a417a0d85a66e6eded22ad7fabae9db1,Medium,Within_1year,High,Classic
59b43c63461d87103629c174f5d268be,High,1-3years,High,Sports
f1d3122463fc620d5c27e211c283ace7,Low,Over_3years,Low,Luxury
05739bf9d3b62eb04767529599598b2d,Medium,1-3years,Low,Sports
4bbf34bd15834ebc7e8069e3c69bd6f9,High,1-3years,Low,Sports
e38178460ac9dd86c91c78daaba87375,High,1-3years,Low,Sports
462e49a2ed63756d3713f2900f07b88a,Medium,Over_3years,High,Sports
3fab0f8f1f835a5d0445f8411f6cfd10,Low,Over_3years,Low,Luxury
d1009e37ab8d67bcc5c83638ca56a9fe,High,1-3years,High,Classic
b86464987f6a89952080edd8f9b35421,High,1-3years,Low,Luxury
81a58fae2deed8918076a97935207deb,High,1-3years,High,Classic
24e04d1b435a0f67acb02d9be7fccdf4,Low,Within_1year,High,Luxury
6b6de75bc8d707dc9a5edaa9ab998b1f,High,Over_3years,Low,Luxury
ca0783a114a979bf2e054347afa46c55,Medium,Within_1year,High,Sports
b76efdfaf88941a57ee5106270bd66bd,Medium,Over_3years,High,Classic
f8db7dcebb053685d2033ddd5b028235,High,1-3years,Low,Luxury
7177cf9c5b980cc334cfbbcbe10713c6,High,Within_1year,Low,Classic
24f606fd88b90dbccf443736a074afbb,Medium,1-3years,High,Classic
0dfb7ba2cfd8384060fdda5caeb05863,Medium,Within_1year,Low,Luxury
5773f9232438172bf8d01307c0c25220,High,1-3years,Low,Classic
5174dd1944f7b2ebada8fe865a241729,Medium,Over_3years,Low,Luxury
0a29e0bf5f2eb28874522850f9dd8d27,Low,1-3years,Low,Luxury
d40932126117b2d97072643bddadab5f,Low,Over_3years,Low,Sports
af5c4d7e3aaeedcc121388b9309efdc2,Low,1-3years,High,Sports
8fdf773b9d537a52bb9c3c2c728f0db8,Low,1-3years,Low,Classic
71138551b5932185214878ce263b0e1f,Medium,Over_3years,High,Sports
7fb275dab647ccdc291bfeae6c464c75,Low,Over_3years,High,Classic
9027abfa77328f89b85222d05239c635,High,Within_1year,High,Luxury
f58984e8f706f6a6c5a6dabb746cb254,High,1-3years,Low,Sports
bbfcd4c6b7071ddfcc5855243e42377a,Low,Within_1year,Low,Luxury
916a224dcd7d43a14ebd2a83aaeebc75,High,Within_1year,Low,Sports
c3969c578e0bd59b3c5df2b05203438b,Low,Over_3years,High,Sports
034b0707dfa877cd6e8bcecadbde3324,Low,Over_3years,High,Sports
9fbbd991b1da4aa5cb69226c4d8989f0,Low,1-3years,High,Luxury
8d3dc1ea2b8a1a6ba5b008e136969bd1,High,Within_1year,High,Classic
89b854e6ea111756cecf9d4f9c9d7bf1,High,1-3years,High,Sports
add9a498e0a391207a96feaec2cce504,Low,Within_1year,Low,Luxury
7bf5ee969573995e6e6979b320ac64fe,Low,Over_3years,Low,Classic
1efa81a658acf2e2de6757b1ec59f31d,Low,1-3years,High,Classic
44a4b6e33f3af635f3ab84d35e87bed4,Low,Within_1year,Low,Sports
15a5ae8726d85c85978437f7dd202461,Medium,Over_3years,High,Luxury
748e021c7d9f85ac938fec3932b2d809,Low,Within_1year,High,Luxury
3efd33107cbb22e584729a40b3c9a6cc,High,1-3years,High,Classic
947d08279d4f166499204cc8b7d1112d,Low,Over_3years,Low,Luxury
3fa0bcca7338e5e0866af7c854cd471f,Medium,Within_1year,Low,Classic
9a04d59fc54ebe2b80759fd8b85714d8,High,Within_1year,Low,Classic
47dd195ae5b449a29c2f59b69a833ffa,Medium,1-3years,High,Classic
639e359d0a42f44bcff2956a843514cf,Low,1-3years,Low,Sports
2dae426e6841c7d16dd1b1bb6de0d37a,High,1-3years,Low,Luxury
35563a5f182e00fe03ba04e949db289b,Low,Over_3years,Low,Sports
d59c762b32ee78ee82fe7d35ce231631,High,Over_3years,High,Classic
98df7f0e15217fcf5f5f1a5fabe12d3d,High,1-3years,Low,Luxury
fd56d8621d82673064ee03e3c172b9f7,High,Over_3years,Low,Luxury
8fd06eafbb07e712cb151b9d3829acb8,Medium,Within_1year,High,Classic
3888333fe8d87545f81f3e99deffe397,Low,1-3years,Low,Luxury
e5604372a3e97a06003a07b666d7e228,Medium,Over_3years,High,Classic
20908dba58854c2100d7fec9ae77900f,Medium,Over_3years,High,Classic
aa95ac6435d1a3ad64a46e8edc070279,Low,1-3years,Low,Classic
2a49b336a6fe4fb49044f5d30efca91e,Low,1-3years,High,Classic
2dff82cd37a638a2dd532a5f105040e8,Low,Over_3years,Low,Luxury
d54b2ca0a0800c86fddab60d46a2acc8,High,Over_3years,High,Sports
3c280210d2acd56d913511befe5e0c5c,Medium,1-3years,Low,Luxury
1631d9c83d9e92e0c0715a8f6c0bc64e,Medium,Over_3years,High,Sports
bd833ca00be804fa1713d88dd4f94f46,Medium,Within_1year,Low,Luxury
7c8290bbda8ee570aed28cc9d3cbfa46,Medium,Over_3years,Low,Classic
8a2cc0f45e8bbcc10558a0adff11d91d,Medium,Within_1year,Low,Luxury
6444c493f0bd579b6fc3d38abac641c5,High,Within_1year,Low,Luxury
381981c6bbce5f3b329115aa68d5a3b3,Low,Over_3years,High,Luxury
f56f4a2aacc67a7b72613360e7147f38,High,Over_3years,Low,Classic
511fa97ca70af362aeb2d43197914e56,High,1-3years,Low,Sports
3094ad86a70ae945dedd79ab1ac8d9a7,High,Within_1year,Low,Luxury
da7ac702f61961b3a4c8340b13a86098,Low,Over_3years,Low,Classic
a45f849cda507389cd7b38186fbc0558,Low,Within_1year,High,Sports
18f94498afa939212fc985ed44591420,Medium,1-3years,Low,Classic
f5cf2f9ef8be592273f574aa368166fe,High,Within_1year,High,Sports
1afe7ae181b03d050d66fa15af49dd04,Medium,Over_3years,Low,Classic
f366d4cbb967952e2092ba6926d8505a,Low,Over_3years,High,Classic
026ac7df338401ea0950778b0a51c524,Low,Within_1year,High,Classic
c416f338c21684f26dc78aa436c9a096,Low,1-3years,High,Classic
10502364f720bc50043f566123f61765,Low,Within_1year,High,Classic
313fdaac926dc0a34bd2a664f2818378,High,Over_3years,Low,Luxury
a6fb86558439c6faf057c4e5bd992aca,Medium,1-3years,High,Luxury
9ab9fb4982178464c7ce787812660711,Low,Within_1year,High,Sports
36cacbb345490bc60ae54f7a1673a49b,Medium,Within_1year,High,Luxury
f34c24441d0f5a119c73ac6d6393948e,Low,1-3years,Low,Classic
40abf0ae4ab6e3663244a5563e1f5853,Medium,Within_1year,Low,Classic
48d8a6432869ec7e0cad628d257d75c7,Medium,1-3years,Low,Luxury
28d8161ca61d17a5aa248d971b03e5b8,Low,1-3years,High,Sports
907b63d62fdec82b3654d64bc9130d54,Low,1-3years,High,Sports
39a470b717290d1a74daddb2a966ee54,Medium,1-3years,High,Sports
8ea919f4ed4c7cfbc6fb7a4258cd9598,High,Within_1year,High,Luxury
7284cfcbcc420ac2ae6cd56c74512e98,Low,Within_1year,Low,Classic
792054de2afcf41a67c99e507b09dc4d,Low,Over_3years,High,Sports
6858c9ed6fc97161d390353e9392dcb0,High,1-3years,Low,Sports
3e3d63c36ad727b8b67ec21673840e0d,High,Over_3years,High,Sports
232d1792e7e14ac6a0fb03a7a18008a1,Low,Over_3years,High,Classic
5c0009ed8c0ba12e065645fb04ad3ea0,Low,Within_1year,High,Classic
56ee853cf988eb8a70be3b19e558b368,Low,Within_1year,High,Sports
40dc48dde26e02a3266e3ea7ed4a0b60,Low,Within_1year,Low,Classic
36a141887bc027494afd159aa715b55f,Medium,Within_1year,High,Sports
c56d531080611e099ce4e318f01be7e2,Medium,Over_3years,Low,Luxury
4e57775352d9290724ea2d0748e480f3,Medium,1-3years,High,Sports
383fee7cd08642646d5f3abf81a109f1,Low,Over_3years,Low,Luxury
bd56ab5727b2bfa2d51f12404ce76164,Medium,Over_3years,High,Classic
2d75cfc366a58f28c97352aaa795c05e,Low,Within_1year,Low,Sports
daab2770a162cf02d7bceb50bcb5bf0e,Low,1-3years,High,Classic
f8e33be36642834812f440e82a2c127f,Medium,Over_3years,High,Sports
13281b0897ad2481e0324ebd131dc602,Low,Within_1year,Low,Luxury
2b563a2567f2fb35e4c439c7f1bf2e10,Medium,Within_1year,Low,Classic
c2df5b69b6751bc8efd9a66567a51097,Medium,1-3years,Low,Classic
983ad91375fae4060badf322db4bd5b5,Medium,Over_3years,Low,Sports
ff25977d5f5750e3337bc7761c28adde,Medium,1-3years,High,Classic
55b2ad8b33b569bd1c677f629f87d746,Medium,1-3years,High,Luxury
fb9a52193ff76f402ab2d6d714206205,High,1-3years,High,Luxury
f3a2261c7b92a21c5c1edf3db61f54e4,High,Over_3years,Low,Sports
97d33cd4efd39941f76c032913ee01d1,High,Within_1year,Low,Sports
64fca7cb3f0e4bae20ed9d3d306f48a7,High,1-3years,High,Classic
478e474b01de6fce3948404862fc1606,High,1-3years,High,Luxury
9b74319b44544b0ecb1016f3d94448e0,Medium,Over_3years,Low,Classic
43301b93f710c093d41ec5d194469c4a,Low,Over_3years,Low,Luxury
11df536fd24093928b43d3346ba2e629,Low,Within_1year,High,Luxury
6a319ca2f4df8ac02387780a05a2e02b,Medium,Within_1year,High,Sports
8b19f5f6135330cdf900c08334f3f04d,Low,1-3years,High,Classic
1c970a661e6a122b498f66d9311eff56,Low,1-3years,High,Luxury
0843dce5b730cb7e860208e16182621d,High,Over_3years,High,Sports
bef94b04d0cc5b914fdddf4705de42a6,High,1-3years,Low,Luxury
7630a92e7c8ab952761d474b788f1e67,High,Over_3years,Low,Sports
1c240d776ac0afc30eb3aeb5467298a5,Low,1-3years,High,Sports
dec8c539a150d6411f56fdd5fbd845a9,High,Over_3years,High,Sports
bb493e792bad87c12389dbed52057e65,Medium,1-3years,Low,Classic
cb169ac01271821b2549a3d847d1718a,Low,1-3years,Low,Sports
b03759de791b1f7ba0f1e0c5c9ef0aef,Low,1-3years,High,Sports
ee4470e29420f220170be64f29ecfc51,High,Within_1year,Low,Luxury
25fcbbea135510581a8ba6e0c0904a54,Medium,1-3years,Low,Sports
91b1b04ff9ea933247ffa93648cb8480,High,1-3years,High,Luxury
13c61714c4a47ec1fcf1bc4fb18c0d18,High,Within_1year,High,Luxury
524163832478aebe21a839b713e64776,Low,Within_1year,High,Classic
da61a6a6375d88a8b7131be8c12a3522,Low,1-3years,High,Sports
aeca6de9639c6e0f0ce3203d6699d9cf,High,Over_3years,Low,Sports
3c909fa652130f9fdfb69b4bc4845e36,Low,1-3years,Low,Luxury
f7664bd8fdfb07deca61b0884b07fbe2,Low,Over_3years,High,Classic
2cd9b3629669e216c7a9cb635a1d5ecf,Low,1-3years,Low,Sports
eab33c6e687929491a5e451de84294da,High,Over_3years,High,Classic
c614b7ee029b4f98a76690e51849365f,Low,1-3years,High,Luxury
9b523d5374696d24db7d43dfbfcea26c,High,Within_1year,High,Sports
f6fcfe6922dabae737eb4fef11a7de32,Low,Over_3years,High,Classic
9c1a70a35146ff07a9dc06e697d3aee8,Medium,1-3years,Low,Sports
4eced02c659c89d8fa2fb894e63e3aa6,Low,1-3years,High,Sports
fe80ed1a491825135c61ab6cea6c1c7d,High,Within_1year,Low,Classic
8500eefc5f866d987cf2689c58ab3dbe,Low,Over_3years,Low,Sports
688469e91317405d14c76c8fd77a0a9f,High,Over_3years,High,Luxury
69cf70b5c78923b7690a8826cfd45dc8,High,Over_3years,High,Sports
3e1c2d48879875afbc0d54d70307300d,Low,Within_1year,Low,Sports
27c25493320f2153dc5270da0980de9d,High,Over_3years,High,Classic
a8b5ea9f6b11c21524d8dd8a094f6065,Low,Over_3years,High,Classic
4415388332b15a9ad96f5f651a635404,Medium,1-3years,High,Classic
95ec615913a26f4b7b465a4d09c68892,High,1-3years,Low,Sports
fe75bb333be849bb2dc5aa9c170c3030,High,Within_1year,Low,Classic
365da9083b817d3a0480c6499a767d04,High,Over_3years,Low,Sports
9d7c357063b78f331aa0b68ce9a6ad10,High,1-3years,High,Luxury
68253a2706ed34320320bede4df834b4,Medium,Within_1year,High,Luxury
